"from","to","weight"
244,238,-0.078
1329,238,-0.61
239,239,1
2969,239,-0.1125
2970,239,-0.1125
2971,239,-0.1125
2972,239,-0.1125
2973,239,-0.1125
2974,239,-0.1125
2975,239,-0.1125
2976,239,-0.1125
240,240,1
241,240,-0.03
241,241,1
242,242,1
243,243,1
244,244,1
254,244,-0.0014
322,244,-0.01896
139,245,-0.08
244,245,-0.5
245,245,1
98,246,-0.14
246,246,1
247,247,1
244,248,-0.5
248,248,1
249,249,1
1935,249,-0.026
3206,249,-0.1
250,250,1
242,251,-0.5001
251,251,1
252,252,1
3960,252,-0.476
3961,252,-0.152
253,253,1
3524,253,-0.75
254,254,1
255,255,1
256,256,1
257,257,1
258,258,1
259,259,1
260,260,1
260,261,-0.5
261,261,1
260,262,-0.1
262,262,1
263,263,1
3306,263,-0.1
264,264,1
265,265,1
266,266,1
267,267,1
268,268,1
269,269,1
270,270,1
271,271,1
272,272,1
273,273,1
274,274,1
275,275,1
276,276,1
277,277,1
278,278,1
279,279,1
280,280,1
281,281,1
282,282,1
283,283,1
284,284,1
285,285,1
286,286,1
287,287,1
288,288,1
289,289,1
290,290,1
291,291,1
290,292,-0.1
292,292,1
298,292,-0.26
767,292,-0.5401
293,293,1
294,294,1
3973,294,-0.96
13,295,-0.11
290,295,-0.1
295,295,1
291,296,-0.182
296,296,1
297,297,1
298,298,1
299,299,1
300,300,1
301,301,1
302,302,1
302,303,-0.542
303,303,1
304,304,1
305,305,1
307,305,-0.0625
3219,305,-0.0625
3715,305,-0.0625
3718,305,-0.0625
3719,305,-0.0625
3721,305,-0.0625
3724,305,-0.0625
3725,305,-0.0625
3726,305,-0.0625
3918,305,-0.0625
3985,305,-0.0625
3986,305,-0.0625
3987,305,-0.0625
3988,305,-0.0625
53,306,-0.1
291,306,-0.0707
306,306,1
1736,306,-0.1
307,307,1
290,308,-0.1
308,308,1
309,309,1
310,310,1
311,311,1
1666,311,-0.03
312,312,1
313,313,1
314,314,1
315,315,1
316,316,1
3968,316,-0.7501
317,317,1
33,318,-0.1
318,318,1
319,319,1
290,320,-0.1
320,320,1
321,321,1
322,322,1
323,323,1
324,324,1
325,325,1
1,326,-0.5714
326,326,1
1632,326,-0.4286
1,327,-0.4742
2,327,-0.5001
327,327,1
1,328,-0.9914
328,328,1
1,329,-0.38
2,329,-0.5
329,329,1
1,330,-0.157
330,330,1
1,331,-1
331,331,1
2,332,-0.5
4,332,-0.25
332,332,1
343,332,-0.25
2,333,-0.1
332,333,-0.1
333,333,1
2,334,-0.016
3,334,-0.0688
4,334,-0.1
334,334,1
2,335,-1
335,335,1
2,336,-0.275
336,336,1
2,337,-1
337,337,1
2,338,-0.083
338,338,1
3,339,-1
339,339,1
3,340,-0.33333
311,340,-0.23
339,340,-0.1
340,340,1
3,341,-0.06
339,341,-0.94
341,341,1
341,342,-0.5
342,342,1
4,343,-0.33333
343,343,1
5,344,-1
344,344,1
5,345,-0.5
15,345,-0.5
345,345,1
5,346,-1
346,346,1
5,347,-0.988
347,347,1
5,348,-0.998
348,348,1
5,349,-1
349,349,1
5,350,-1
350,350,1
5,351,-1
351,351,1
5,352,-1
352,352,1
5,353,-0.12
13,353,-0.12
14,353,-0.12
15,353,-0.12
74,353,-0.1
353,353,1
585,353,-0.12
5,354,-0.186
13,354,-0.186
14,354,-0.186
15,354,-0.186
354,354,1
585,354,-0.186
5,355,-0.184
13,355,-0.184
14,355,-0.184
15,355,-0.184
355,355,1
585,355,-0.184
5,356,-0.166
13,356,-0.166
14,356,-0.166
15,356,-0.166
356,356,1
585,356,-0.166
356,357,-0.1
357,357,1
356,358,-0.1
358,358,1
5,359,-0.102
13,359,-0.102
14,359,-0.102
15,359,-0.102
359,359,1
585,359,-0.102
3920,359,-0.3
359,360,-1
360,360,1
5,361,-0.1
361,361,1
361,362,-1
362,362,1
361,363,-0.5
363,363,1
361,364,-0.2
364,364,1
5,365,-0.1
365,365,1
5,366,-0.5001
366,366,1
5,367,-1
367,367,1
5,368,-1
368,368,1
5,369,-1
369,369,1
5,370,-1
370,370,1
5,371,-0.18
96,371,-0.7
371,371,1
5,372,-0.1
372,372,1
5,373,-0.8366
373,373,1
5,374,-0.65
13,374,-0.17
374,374,1
374,375,-0.7315
375,375,1
375,376,-0.1
376,376,1
5,377,-0.1
377,377,1
5,378,-0.1
378,378,1
5,379,-1
379,379,1
5,380,-0.1
380,380,1
5,381,-0.1
381,381,1
5,382,-0.1
382,382,1
5,383,-0.1
383,383,1
5,384,-0.1
384,384,1
5,385,-0.3538
385,385,1
146,386,-0.4
385,386,-0.51
386,386,1
5,387,-1
387,387,1
6,388,-0.1
388,388,1
6,389,-0.73
389,389,1
6,390,-0.1
390,390,1
6,391,-1
391,391,1
6,392,-0.1
392,392,1
6,393,-0.1
393,393,1
393,394,-1
394,394,1
393,395,-0.265
395,395,1
6,396,-0.1
396,396,1
6,397,-0.1
7,397,-0.1
8,397,-0.166
397,397,1
6,398,-0.1
33,398,-0.1
398,398,1
6,399,-0.1
7,399,-0.1
8,399,-0.1
9,399,-0.1
13,399,-0.16
295,399,-0.1
399,399,1
6,400,-0.5
33,400,-0.5
400,400,1
6,401,-0.1
401,401,1
6,402,-0.1
402,402,1
7,403,-0.5
403,403,1
7,404,-0.1
404,404,1
7,405,-1
405,405,1
406,406,1
7,407,-0.1
407,407,1
7,408,-0.1
408,408,1
8,409,-0.81
409,409,1
8,410,-0.1
410,410,1
8,411,-0.1
411,411,1
9,412,-0.87
412,412,1
412,413,-0.95
413,413,1
412,414,-0.1
414,414,1
9,415,-1
415,415,1
9,416,-0.51
416,416,1
9,417,-0.25
11,417,-0.2
241,417,-0.25
417,417,1
417,418,-1
418,418,1
417,419,-0.1
419,419,1
417,420,-0.1
420,420,1
9,421,-0.1
421,421,1
421,422,-1
422,422,1
421,423,-1
423,423,1
9,424,-0.81
424,424,1
425,425,1
426,426,1
427,427,1
428,428,1
429,429,1
430,430,1
431,431,1
432,432,1
301,433,-0.85
432,433,-0.14
433,433,1
14,434,-0.45849
434,434,1
435,435,1
436,436,1
14,437,-0.1
437,437,1
437,438,-1
438,438,1
437,439,-1
439,439,1
440,440,1
441,441,1
442,442,1
443,443,1
443,444,-0.409
444,444,1
443,445,-0.1
445,445,1
446,446,1
11,447,-0.9999
447,447,1
11,448,-0.5
448,448,1
11,449,-0.5
449,449,1
11,450,-0.9999
450,450,1
11,451,-0.1
451,451,1
12,452,-1
452,452,1
12,453,-0.5
453,453,1
12,454,-0.5001
454,454,1
12,455,-1
455,455,1
12,456,-0.5001
456,456,1
12,457,-0.8999
457,457,1
457,458,-0.5001
458,458,1
12,459,-0.5001
459,459,1
459,460,-1
460,460,1
12,461,-0.5001
461,461,1
12,462,-0.5001
462,462,1
12,463,-0.5001
463,463,1
12,464,-0.5001
129,464,-0.215
290,464,-0.1
464,464,1
464,465,-1
465,465,1
464,466,-1
466,466,1
12,467,-0.4999
467,467,1
12,468,-1
468,468,1
468,469,-1
469,469,1
468,470,-1
470,470,1
468,471,-0.5
471,471,1
12,472,-0.5
454,472,-0.5
472,472,1
12,473,-0.5
457,473,-0.1
467,473,-0.1
473,473,1
10,474,-0.1
22,474,-0.75
474,474,1
10,475,-0.1
22,475,-0.1
475,475,1
10,476,-1
476,476,1
10,477,-0.1
477,477,1
10,478,-0.5
478,478,1
10,479,-0.1
87,479,-0.0558
479,479,1
13,480,-0.1
480,480,1
480,481,-0.975
481,481,1
481,482,-1
482,482,1
480,483,-1
483,483,1
480,484,-1
484,484,1
480,485,-0.51
485,485,1
13,486,-0.9
486,486,1
486,487,-1
487,487,1
487,488,-1
488,488,1
486,489,-0.531
489,489,1
486,490,-0.064
489,490,-0.778
490,490,1
486,491,-1
491,491,1
13,492,-0.30923
492,492,1
13,493,-0.8763
493,493,1
13,494,-0.263
494,494,1
13,495,-0.5
480,495,-0.5
495,495,1
13,496,-0.7
496,496,1
13,497,-0.64
497,497,1
13,498,-0.1
498,498,1
13,499,-0.1
499,499,1
13,500,-1
500,500,1
14,501,-1
501,501,1
14,502,-0.1
502,502,1
14,503,-0.1
503,503,1
14,504,-0.59
504,504,1
14,505,-0.51
505,505,1
505,506,-0.1
506,506,1
505,507,-0.1
507,507,1
14,508,-0.62
508,508,1
14,509,-0.1
509,509,1
14,510,-0.1
510,510,1
14,511,-0.5
511,511,1
14,512,-0.1
512,512,1
14,513,-1
513,513,1
14,514,-1
514,514,1
15,515,-0.332
515,515,1
15,516,-0.91
516,516,1
15,517,-0.5
517,517,1
15,518,-0.985
518,518,1
518,519,-1
519,519,1
15,520,-1
520,520,1
15,521,-0.25
521,521,1
15,522,-0.82
522,522,1
15,523,-0.48696
523,523,1
523,524,-1
524,524,1
15,525,-0.43
525,525,1
15,526,-0.2
526,526,1
526,527,-1
527,527,1
526,528,-0.6
528,528,1
15,529,-1
529,529,1
15,530,-1
530,530,1
15,531,-0.8
531,531,1
15,532,-0.5
532,532,1
15,533,-0.5
533,533,1
15,534,-0.5
534,534,1
15,535,-0.6
535,535,1
15,536,-0.1
536,536,1
15,537,-0.5
536,537,-0.5
537,537,1
15,538,-0.25
76,538,-0.25
322,538,-0.5
538,538,1
15,539,-0.71
539,539,1
539,540,-0.5
540,540,1
15,541,-1
541,541,1
15,542,-0.51
542,542,1
15,543,-0.8
543,543,1
15,544,-0.8
544,544,1
15,545,-0.2
545,545,1
15,546,-1
546,546,1
15,547,-0.5467
547,547,1
15,548,-1
548,548,1
15,549,-0.5
549,549,1
15,550,-0.33333
550,550,1
15,551,-0.1
551,551,1
15,552,-0.5
552,552,1
15,553,-1
553,553,1
15,554,-0.5
554,554,1
15,555,-0.51
555,555,1
15,556,-1
556,556,1
15,557,-1
557,557,1
15,558,-1
558,558,1
15,559,-1
559,559,1
15,560,-1
560,560,1
15,561,-0.28
561,561,1
15,562,-0.25
562,562,1
16,563,-0.5001
563,563,1
563,564,-0.5
564,564,1
563,565,-1
565,565,1
563,566,-1
566,566,1
563,567,-0.5
567,567,1
563,568,-0.9999
568,568,1
563,569,-1
569,569,1
569,570,-1
570,570,1
569,571,-1
571,571,1
563,572,-0.07
572,572,1
16,573,-1
573,573,1
16,574,-1
574,574,1
16,575,-1
575,575,1
16,576,-0.02974
576,576,1
576,577,-0.1
577,577,1
16,578,-0.5
578,578,1
16,579,-0.95394
579,579,1
16,580,-0.9
580,580,1
17,581,-1
581,581,1
17,582,-0.1
582,582,1
17,583,-0.5
18,583,-0.5
583,583,1
583,584,-0.1
584,584,1
1648,584,-0.3
17,585,-0.5001
585,585,1
585,586,-0.5001
586,586,1
585,587,-0.5001
587,587,1
585,588,-0.1
588,588,1
588,589,-0.1
589,589,1
17,590,-0.5
590,590,1
17,591,-0.5001
591,591,1
17,592,-0.1
592,592,1
17,593,-0.1
593,593,1
17,594,-0.1
594,594,1
18,595,-1
595,595,1
18,596,-0.51
27,596,-0.49
596,596,1
18,597,-0.9307
597,597,1
18,598,-1
598,598,1
18,599,-1
599,599,1
18,600,-1
600,600,1
19,601,-1
601,601,1
19,602,-0.56
602,602,1
602,603,-0.56
603,603,1
19,604,-0.245
602,604,-0.51
603,604,-0.245
604,604,1
19,605,-0.85
605,605,1
19,606,-0.4
606,606,1
19,607,-0.5
607,607,1
19,608,-0.1
608,608,1
608,609,-0.4
609,609,1
608,610,-0.97
610,610,1
19,611,-1
611,611,1
19,612,-0.75
500,612,-0.25
612,612,1
19,613,-0.85
613,613,1
19,614,-0.5
614,614,1
19,615,-0.65
615,615,1
615,616,-0.35
616,616,1
19,617,-0.81
617,617,1
19,618,-0.37
618,618,1
19,619,-0.95
619,619,1
19,620,-1
620,620,1
19,621,-0.85
621,621,1
19,622,-0.4
606,622,-0.3
620,622,-0.15
622,622,1
19,623,-0.85
623,623,1
19,624,-0.75
624,624,1
19,625,-0.94
625,625,1
19,626,-0.49405
626,626,1
20,627,-1
627,627,1
20,628,-0.673
628,628,1
20,629,-0.968
629,629,1
20,630,-1
630,630,1
20,631,-1
631,631,1
20,632,-1
632,632,1
20,633,-1
633,633,1
20,634,-1
634,634,1
20,635,-1
635,635,1
20,636,-1
636,636,1
20,637,-1
637,637,1
20,638,-1
638,638,1
20,639,-1
639,639,1
20,640,-1
640,640,1
20,641,-1
641,641,1
20,642,-1
642,642,1
20,643,-1
643,643,1
20,644,-1
644,644,1
20,645,-0.843
645,645,1
645,646,-0.1
646,646,1
645,647,-0.1
647,647,1
20,648,-0.98
648,648,1
20,649,-0.78
649,649,1
20,650,-0.1
650,650,1
20,651,-1
651,651,1
20,652,-1
652,652,1
20,653,-1
653,653,1
20,654,-1
654,654,1
20,655,-0.855
655,655,1
20,656,-1
656,656,1
20,657,-1
657,657,1
20,658,-0.76
32,658,-0.14
658,658,1
21,659,-0.25
22,659,-0.5
659,659,1
660,659,-0.25
21,660,-0.73
660,660,1
660,661,-1
661,661,1
21,662,-0.1
662,662,1
21,663,-0.45
663,663,1
3906,663,-0.5
21,664,-1
664,664,1
21,665,-1
665,665,1
21,666,-0.058
78,666,-0.066
666,666,1
22,667,-0.5625
129,667,-0.2477
667,667,1
22,668,-0.1
659,668,-0.1
667,668,-0.1
668,668,1
668,669,-0.1
669,669,1
22,670,-0.1
670,670,1
23,671,-1
671,671,1
23,672,-0.5
672,672,1
673,672,-0.5
23,673,-1
673,673,1
23,674,-0.5
673,674,-0.5
674,674,1
23,675,-0.769
675,675,1
23,676,-0.833
676,676,1
24,677,-0.1
677,677,1
24,678,-0.1
678,678,1
678,679,-0.33333
679,679,1
96,680,-0.5
678,680,-0.5
680,680,1
678,681,-0.165
681,681,1
24,682,-0.1
682,682,1
682,683,-0.5
683,683,1
3907,683,-0.5
323,684,-0.0857
682,684,-0.093
684,684,1
233,685,-0.2174
682,685,-0.04
685,685,1
323,686,-0.51
682,686,-0.11
686,686,1
3134,686,-0.109
77,687,-0.1
682,687,-0.5
687,687,1
25,688,-0.51
688,688,1
688,689,-0.94
689,689,1
689,690,-0.5
690,690,1
25,691,-0.2
691,691,1
691,692,-0.751
692,692,1
691,693,-1
693,693,1
25,694,-0.3
691,694,-0.3
694,694,1
25,695,-0.6
695,695,1
25,696,-1
696,696,1
25,697,-0.99
697,697,1
697,698,-1
698,698,1
25,699,-0.51279
699,699,1
25,700,-0.46774
109,700,-0.1
700,700,1
700,701,-1
701,701,1
700,702,-0.1
702,702,1
25,703,-0.5
703,703,1
25,704,-0.5
704,704,1
25,705,-0.5
143,705,-0.5
705,705,1
25,706,-0.99
706,706,1
25,707,-0.5
707,707,1
25,708,-0.1
708,708,1
25,709,-0.5
709,709,1
26,710,-1
710,710,1
26,711,-0.86
711,711,1
26,712,-0.869
712,712,1
26,713,-1
713,713,1
26,714,-1
714,714,1
26,715,-1
715,715,1
26,716,-1
716,716,1
26,717,-1
717,717,1
26,718,-0.5
718,718,1
27,719,-1
719,719,1
27,720,-0.867
720,720,1
27,721,-0.9962
721,721,1
27,722,-0.502
722,722,1
27,723,-0.1
723,723,1
27,724,-0.5
724,724,1
27,725,-0.5
725,725,1
27,726,-0.5
726,726,1
27,727,-0.5
727,727,1
28,728,-0.51
728,728,1
728,729,-0.96
729,729,1
28,730,-1
730,730,1
29,731,-0.913
731,731,1
29,732,-0.97
732,732,1
29,733,-0.9
733,733,1
29,734,-0.8
734,734,1
29,735,-0.881
735,735,1
29,736,-0.1
32,736,-0.198
736,736,1
30,737,-0.998
737,737,1
30,738,-0.998
738,738,1
30,739,-0.95
739,739,1
30,740,-0.95
740,740,1
30,741,-1
741,741,1
741,742,-0.6
742,742,1
742,743,-1
743,743,1
742,744,-0.75
744,744,1
742,745,-1
745,745,1
30,746,-1
746,746,1
746,747,-1
747,747,1
747,748,-1
748,748,1
747,749,-1
749,749,1
747,750,-1
750,750,1
747,751,-1
751,751,1
747,752,-1
752,752,1
747,753,-1
753,753,1
747,754,-1
754,754,1
31,755,-0.1223
755,755,1
31,756,-1
756,756,1
31,757,-1
757,757,1
31,758,-1
758,758,1
31,759,-1
759,759,1
31,760,-0.25
760,760,1
761,761,1
761,762,-0.826
762,762,1
761,763,-0.55
763,763,1
293,764,-0.1
763,764,-0.5
764,764,1
761,765,-0.75
765,765,1
761,766,-0.37
766,766,1
767,766,-0.37
767,767,1
761,768,-0.1373
767,768,-0.2227
768,768,1
32,769,-1
769,769,1
32,770,-1
770,770,1
32,771,-0.33333
771,771,1
33,772,-1
772,772,1
33,773,-0.55
773,773,1
773,774,-0.1
774,774,1
33,775,-0.53
775,775,1
33,776,-1
776,776,1
33,777,-0.1
777,777,1
33,778,-0.1
778,778,1
33,779,-0.1
779,779,1
33,780,-0.1
780,780,1
33,781,-0.1
781,781,1
33,782,-0.1
782,782,1
3100,782,-0.3
33,783,-0.1
783,783,1
33,784,-0.1
784,784,1
33,785,-0.1
785,785,1
33,786,-0.1
786,786,1
33,787,-0.1
787,787,1
33,788,-0.1
788,788,1
33,789,-0.1
789,789,1
33,790,-0.25
37,790,-0.2645
790,790,1
33,791,-1
791,791,1
33,792,-0.1
792,792,1
33,793,-0.1
793,793,1
33,794,-0.1
794,794,1
33,795,-0.1
795,795,1
33,796,-0.1
796,796,1
33,797,-0.1
797,797,1
33,798,-0.1
798,798,1
34,799,-0.5
799,799,1
850,799,-0.5
34,800,-0.33333
35,800,-0.33333
800,800,1
3909,800,-0.1
34,801,-0.33333
35,801,-0.33333
801,801,1
34,802,-0.5
35,802,-0.5
802,802,1
802,803,-0.94
803,803,1
34,804,-0.3
804,804,1
34,805,-0.5
805,805,1
34,806,-1
806,806,1
34,807,-0.3355
807,807,1
850,807,-0.3
34,808,-0.2196
808,808,1
34,809,-0.8
809,809,1
34,810,-1
810,810,1
35,811,-0.997
811,811,1
126,812,-0.3214
811,812,-0.536
812,812,1
35,813,-1
813,813,1
35,814,-1
814,814,1
35,815,-1
815,815,1
35,816,-0.758
816,816,1
35,817,-1
817,817,1
35,818,-0.8
818,818,1
36,819,-0.868
819,819,1
36,820,-0.999
820,820,1
36,821,-0.999
821,821,1
36,822,-1
822,822,1
36,823,-0.7
823,823,1
36,824,-0.878
824,824,1
36,825,-0.1
825,825,1
36,826,-0.1
826,826,1
37,827,-1
827,827,1
827,828,-1
828,828,1
37,829,-0.987
829,829,1
37,830,-1
830,830,1
830,831,-0.903
831,831,1
830,832,-1
832,832,1
37,833,-1
833,833,1
833,834,-1
834,834,1
833,835,-1
835,835,1
38,836,-1
836,836,1
38,837,-1
837,837,1
38,838,-1
838,838,1
38,839,-1
839,839,1
38,840,-0.1
840,840,1
38,841,-0.1
841,841,1
38,842,-0.35
842,842,1
38,843,-0.1
843,843,1
39,844,-1
844,844,1
39,845,-0.99
845,845,1
39,846,-0.993
846,846,1
39,847,-1
847,847,1
39,848,-1
848,848,1
39,849,-1
849,849,1
40,850,-1
850,850,1
850,851,-1
851,851,1
850,852,-0.65
852,852,1
40,853,-0.1
853,853,1
853,854,-0.969
854,854,1
854,855,-1
855,855,1
40,856,-0.1
856,856,1
40,857,-0.1
857,857,1
40,858,-0.1
858,858,1
40,859,-0.1
859,859,1
859,860,-0.1
860,860,1
40,861,-0.1
861,861,1
40,862,-0.5
862,862,1
862,863,-0.998
863,863,1
40,864,-0.5
864,864,1
864,865,-1
865,865,1
40,866,-0.1
866,866,1
866,867,-1
867,867,1
866,868,-1
868,868,1
866,869,-1
869,869,1
40,870,-0.1
870,870,1
3911,870,-0.1
40,871,-0.42
109,871,-0.4
871,871,1
40,872,-0.1
872,872,1
873,873,1
873,874,-1
874,874,1
875,875,1
875,876,-0.931
876,876,1
876,877,-0.1
877,877,1
876,878,-0.1
878,878,1
873,879,-0.499
875,879,-0.501
879,879,1
880,880,1
881,881,1
882,882,1
41,883,-0.5
76,883,-0.5
883,883,1
41,884,-1
884,884,1
41,885,-1
885,885,1
41,886,-0.52
886,886,1
41,887,-1
887,887,1
41,888,-0.51
888,888,1
41,889,-1
889,889,1
41,890,-0.51
890,890,1
42,891,-1
891,891,1
42,892,-0.1
892,892,1
42,893,-0.5
893,893,1
42,894,-1
894,894,1
42,895,-1
895,895,1
42,896,-1
896,896,1
43,897,-0.97
897,897,1
43,898,-1
898,898,1
43,899,-0.1
71,899,-0.1
899,899,1
43,900,-0.1
900,900,1
43,901,-0.1
901,901,1
43,902,-0.1
902,902,1
44,903,-0.501
48,903,-0.43
903,903,1
44,904,-0.1
903,904,-0.5
904,904,1
904,905,-1
905,905,1
44,906,-0.5
906,906,1
906,907,-0.5
907,907,1
44,908,-0.724
908,908,1
44,909,-0.501
909,909,1
909,910,-1
910,910,1
44,911,-0.759
911,911,1
44,912,-0.743
912,912,1
44,913,-0.5
913,913,1
913,914,-1
914,914,1
44,915,-0.751
915,915,1
44,916,-0.5162
916,916,1
44,917,-0.9999
917,917,1
44,918,-0.9999
918,918,1
44,919,-0.5
919,919,1
919,920,-0.585
920,920,1
44,921,-0.5
921,921,1
921,922,-1
922,922,1
922,923,-1
923,923,1
44,924,-0.5
924,924,1
44,925,-0.5
924,925,-0.224
925,925,1
925,926,-0.33333
926,926,1
925,927,-0.33333
927,927,1
44,928,-0.1
928,928,1
44,929,-0.85
929,929,1
44,930,-0.85
930,930,1
44,931,-0.5
931,931,1
931,932,-1
932,932,1
44,933,-0.5
933,933,1
933,934,-0.936
934,934,1
933,935,-0.939
935,935,1
44,936,-0.9
936,936,1
981,936,-0.1
44,937,-0.9
937,937,1
981,937,-0.1
44,938,-0.9
938,938,1
981,938,-0.1
44,939,-0.26
939,939,1
951,939,-0.08
939,940,-1
940,940,1
939,941,-1
941,941,1
939,942,-1
942,942,1
939,943,-1
943,943,1
939,944,-0.263
944,944,1
944,945,-1
945,945,1
939,946,-0.9999
946,946,1
939,947,-0.75
947,947,1
939,948,-0.5
948,948,1
948,949,-1
949,949,1
939,950,-0.5
950,950,1
44,951,-0.1
951,951,1
951,952,-0.4
952,952,1
952,953,-0.1
953,953,1
951,954,-0.442
954,954,1
951,955,-0.501
955,955,1
951,956,-0.6
956,956,1
968,956,-0.191
951,957,-0.6
956,957,-0.147
957,957,1
968,957,-0.124
951,958,-0.531
958,958,1
951,959,-0.29
959,959,1
959,960,-0.99
960,960,1
951,961,-0.251
959,961,-0.25
961,961,1
961,962,-1
962,962,1
951,963,-0.251
959,963,-0.251
963,963,1
951,964,-0.251
959,964,-0.25
964,964,1
951,965,-0.501
965,965,1
951,966,-1
966,966,1
951,967,-0.5
967,967,1
951,968,-1
968,968,1
951,969,-0.66667
952,969,-0.33333
969,969,1
44,970,-0.9
970,970,1
970,971,-1
971,971,1
970,972,-1
972,972,1
970,973,-0.989
973,973,1
970,974,-1
974,974,1
970,975,-0.9999
975,975,1
970,976,-0.952
976,976,1
970,977,-1
977,977,1
970,978,-0.56
978,978,1
970,979,-0.5
979,979,1
970,980,-0.75
980,980,1
44,981,-0.1
981,981,1
981,982,-1
982,982,1
981,983,-1
983,983,1
981,984,-1
984,984,1
981,985,-0.5001
